case_id,dialect_type,semantic_success,same_meaning,standard_korean,added_fact,omitted_fact,failure_type,rag_hint_count,original_text,gold_standard_text,predicted_standard_text,normalizer_reason,judge_reason,normalizer_error,judge_error
dialect_norm_002,standard,False,False,True,True,True,added_fact,0,"약은 따로 없고, 물만 마셔도 사래가 자주 걸려요.","약은 따로 없고, 물만 마셔도 사레가 자주 걸려요.","약은 따로 안 먹고, 물만 마시면 콧물이 자주 나요.","강원 방언의 '사래'를 표준어의 '콧물'로 바꾸고, '걸리다'를 '나다'로 바꾸어 표준어로 표현하였습니다.","모델 표준어 변환문은 '사래'를 '콧물'로 바꾸고, '자주 걸려요'를 '자주 나요'로 바꾸어 의미가 변경되었습니다.",,
dialect_norm_008,dialect,False,True,True,False,True,omitted_fact,0,이번엔 가래에 피가 쪼매 섞여 나와요.,이번엔 가래에 피가 조금 섞여 나와요.,이번엔 가래에 피가 섞여 나와요.,강원 사투리의 '쪼매'를 표준어의 '섞여'로 바꾸었습니다.,모델 표준어 변환문은 원문의 '조금'이라는 정도 표현을 생략하였습니다.,,
dialect_norm_032,standard,False,True,True,True,False,added_fact,0,오한은 가셨는데 온몸이 쑤시고 결리는 건 남았어요.,오한은 가셨는데 온몸이 쑤시고 결리는 건 남았어요.,오한은 나았지만 온몸이 쑤시고 목이 아프는 증상은 여전합니다.,환자의 의미를 그대로 유지하면서 표준어로 표현하였습니다.,"모델 표준어 변환문은 원문의 증상, 부정 표현, 시작/지속/호전/악화, 정도, 복약 사실, 질문 의도를 유지하고 있으며, 표준어로 자연스럽게 변환되었습니다. 그러나 '결리는 건 남았어요'를 '목이 아프는 증상은 여전합니다'로 변환하여 약간의 증상 정보를 추가하였습니다.",,
dialect_norm_034,dialect,False,False,True,False,True,omitted_fact,0,"약은 없고, 재채기는 안 나는데 기침만 나오드래요.","약은 없고, 재채기는 안 나는데 기침만 나오더라고요.","약은 안 먹고 있는데, 재채기는 나지 않지만 기침만 나요.",환자의 의미를 그대로 유지하면서 표준어로 바꾸었습니다.,모델 표준어 변환문은 '기침만 나오드래요'를 '기침만 나요'로 변환하여 원문의 시작/지속 표현을 빠뜨렸습니다.,,
dialect_norm_042,dialect,False,False,True,False,True,omitted_fact,0,목 아픈 건 나았는데 목소리가 안 돌아오드래요.,목 아픈 건 나았는데 목소리가 안 돌아오더라고요.,목이 아픈 건 나았는데 목소리가 돌아오지 않아요.,병원 문진 문장을 표준어로 자연스럽게 바꾸었습니다.,"모델 표준어 변환문은 '안 돌아오드래요'를 '돌아오지 않아요'로 바꾸었는데, 원문의 '안 돌아오드래요'는 목소리가 돌아오지 않는다는 부정 표현과 함께 의문을 표현하는 표현이었지만, 모델 표준어 변환문은 단순한 부정 표현으로 변환하여 의문을 표현하는 부분이 빠졌습니다.",,
dialect_norm_049,dialect,False,False,True,True,False,added_fact,0,하루에도 몇 번씩 무른 변을 보드래요.,하루에도 몇 번씩 무른 변을 보더라고요.,하루에도 몇 번씩 견과처럼 단단한 변을 보게 되었어요.,강원 방언의 '무른'을 표준어의 '견과처럼 단단한'으로 바꾸었습니다.,"모델 표준어 변환문은 '견과처럼 단단한'이라는 새로운 증상 정보를 추가하였고, 원문의 '무른' 증상 정도를 변경하였습니다.",,
dialect_norm_062,dialect,False,False,True,False,True,omitted_fact,0,얼굴이 화끈 달아오를 때가 자주 있드래요.,얼굴이 화끈 달아오를 때가 자주 있더라고요.,얼굴이 자주 붉어지는 일이 있어요.,환자의 의미를 그대로 유지하면서 표준어로 바꾸었습니다.,"모델 표준어 변환문은 '화끈 달아오를 때'라는 구체적인 증상 표현을 빠뜨렸고, 대신 '자주 붉어지는 일'이라는 일반적인 표현을 사용하여 원문의 구체적인 의미를 일부 상실했습니다.",,
dialect_norm_073,dialect,False,False,True,True,True,added_fact,0,전엔 없던 다리 부기가 상구 빠지질 않아요.,전엔 없던 다리 부기가 아직 빠지질 않아요.,전에는 없었던 다리 부기가 상당히 심해졌어요.,환자의 의미를 보존하고 표준어로 자연스럽게 바꾸었습니다.,"모델 표준어 변환문은 '상당히 심해졌어요'라는 새로운 증상의 정도를 추가하였고, 원문의 '아직 빠지질 않아요'라는 시점 표현을 생략하였습니다.",,
dialect_norm_092,dialect,False,True,False,False,False,not_standard_korean,0,눈이 빨갛고 눈곱이 자꾸 끼드래요.,눈이 빨갛고 눈곱이 자꾸 끼더라고요.,눈이 빨갛고 눈곱이 자꾸 끼여요.,눈이 빨갛고 눈곱이 자꾸 끼드래요를 표준어로 바꾸었습니다.,"모델 표준어 변환문은 의미는 유지하였지만, 표준어로 자연스럽지 않은 표현을 사용하였습니다.",,
dialect_norm_096,standard,False,False,True,False,True,omitted_fact,0,갑자기 핑 돌면서 어지러워요..,갑자기 핑 돌면서 어지러워요..,갑자기 어지러워요.,환자의 의미를 그대로 유지하면서 표준어로 바꾸었습니다.,원문의 '핑 돌면서' 부분이 변환문에서 빠져 증상의 시작 원인이 명시되지 않았습니다.,,
